Route ID,Start City,Start Date,Greedy Route,Optimal Route,Greedy Price,Optimal Price,Season,Target Audience,Region,Subregion,Month,Trip ID,Greedy Distance,Optimal Route Distance
1,PARIS,2025-07-01,"['BARCELONA', 'IBIZA', 'LISBON', 'SPLIT', 'BERLIN']","['BARCELONA', 'LISBON', 'BERLIN', 'IBIZA', 'SPLIT']",722.01,660.24,SUMMER,YOUNG,EUROPE,WEST,JULY,A,6122.17,8501.0
2,PARIS,2025-08-01,"['BARCELONA', 'IBIZA', 'LISBON', 'SPLIT', 'BERLIN']","['BARCELONA', 'LISBON', 'BERLIN', 'IBIZA', 'SPLIT']",949.49,836.46,SUMMER,YOUNG,EUROPE,WEST,AUGUST,A,6122.17,8501.0
3,PARIS,2025-07-01,"['NICE', 'ROME', 'MAJORCA', 'IBIZA', 'MYKONOS']","['MAJORCA', 'MYKONOS', 'IBIZA', 'ROME', 'NICE']",772.9,670.43,SUMMER,YOUNG,EUROPE,WEST,JULY,B,6493.99,7243.73
4,PARIS,2025-08-01,"['NICE', 'ROME', 'MAJORCA', 'IBIZA', 'MYKONOS']","['MAJORCA', 'IBIZA', 'MYKONOS', 'ROME', 'NICE']",1338.91,707.53,SUMMER,YOUNG,EUROPE,WEST,AUGUST,B,6493.99,5634.91
5,TAMPA,2025-07-01,"['FORT LAUDERDALE', 'MIAMI', 'WASHINGTON', 'NEW YORK CITY', 'BOSTON']","['FORT LAUDERDALE', 'NEW YORK CITY', 'MIAMI', 'CAPE COD', 'WASHINGTON,D.C.']",1501.52,887.77,SUMMER,YOUNG,USA,EAST,JULY,A,4372.41,7950.58
6,TAMPA,2025-08-01,"['FORT LAUDERDALE', 'MIAMI', 'WASHINGTON', 'NEW YORK CITY', 'BOSTON']","['NEW YORK CITY', 'MIAMI', 'CAPE COD', 'WASHINGTON,D.C.', 'FORT LAUDERDALE']",1450.51,737.13,SUMMER,YOUNG,USA,EAST,AUGUST,A,4372.41,8070.38
7,TAMPA,2025-07-01,"['ORLANDO', 'VIRGINIA BEACH', 'PHILADELPHIA', 'NEW YORK CITY', 'CHARLESTON']","['PHILADELPHIA', 'ORLANDO', 'NEW YORK CITY', 'CHARLESTON', 'VIRGINIA BEACH']",10000001647.04,1198.37,SUMMER,YOUNG,USA,EAST,JULY,B,3522.81,6786.58
8,TAMPA,2025-08-01,"['ORLANDO', 'VIRGINIA BEACH', 'PHILADELPHIA', 'NEW YORK CITY', 'CHARLESTON']","['PHILADELPHIA', 'ORLANDO', 'NEW YORK CITY', 'VIRGINIA BEACH', 'CHARLESTON']",1290.95,953.33,SUMMER,YOUNG,USA,EAST,AUGUST,B,3522.81,6541.72
9,SAN DIEGO,2025-07-01,"['LOS ANGELES', 'LAS VEGAS', 'SAN FRANCISCO', 'AUSTIN', 'CHICAGO']","['LAS VEGAS', 'CHICAGO', 'NAPA VALLEY', 'AUSTIN', 'LOS ANGELES']",884.17,711.35,SUMMER,YOUNG,USA,WEST,JULY,A,7989.23,6688.24
10,SAN DIEGO,2025-08-01,"['LOS ANGELES', 'LAS VEGAS', 'SAN FRANCISCO', 'AUSTIN', 'CHICAGO']","['LAS VEGAS', 'LOS ANGELES', 'CHICAGO', 'NAPA VALLEY', 'AUSTIN']",883.79,766.55,SUMMER,YOUNG,USA,WEST,AUGUST,A,7989.23,7119.56
11,SAN DIEGO,2025-07-01,"['PHOENIX', 'SALT LAKE CITY', 'PORTLAND, OREGON', 'SEATTLE', 'CHICAGO']","['PARK CITY', 'SEATTLE', 'PORTLAND, OREGON', 'SEDONA', 'CHICAGO']",1014.12,853.32,SUMMER,YOUNG,USA,WEST,JULY,B,8121.18,8924.24
12,SAN DIEGO,2025-08-01,"['PHOENIX', 'SALT LAKE CITY', 'PORTLAND, OREGON', 'SEATTLE', 'CHICAGO']","['PARK CITY', 'PORTLAND, OREGON', 'CHICAGO', 'SEDONA', 'SEATTLE']",1071.83,877.01,SUMMER,YOUNG,USA,WEST,AUGUST,B,8121.18,10503.99
40,PARIS,2025-12-26,"['BRUSSELS', 'AMSTERDAM', 'LONDON', 'PRAGUE', 'MADRID']","['AMSTERDAM', 'PRAGUE', 'LONDON', 'BRUGES', 'MADRID']",10000001420.32,10000001527.86,WINTER,YOUNG,EUROPE,WEST,,A,4652.25,4773.85
40,PARIS,2025-12-26,"['LONDON', 'AMSTERDAM', 'ZURICH', 'MILAN', 'VIENNA']","['MILAN', 'LONDON', 'ZURICH', 'VIENNA', 'AMSTERDAM']",20000001729.67,10000000876.2,WINTER,YOUNG,EUROPE,WEST,,B,3192.19,4334.86
4-,PARIS,2025-12-26,"['BUDAPEST', 'KRAKOW', 'WARSAW', 'SOFIA']","['BUDAPEST', 'KRAKOW', 'WARSAW', 'SOFIA']",952.42,890.56,WINTER,YOUNG,EUROPE,EAST,,A,4620.76,4620.76
40,TAMPA,2025-12-26,"['NEW YORK CITY', 'BOSTON', 'PORTLAND,MAINE', 'STOWE,VERMONT']","['NEW YORK CITY', 'PORTLAND,MAINE', 'CAPE COD', 'STOWE,VERMONT']",40000000383.26,40000000383.26,WINTER,YOUNG,USA,EAST,,A,4326.02,4674.09
40,TAMPA,2025-12-26,"['WASHINGTON,D.C. ', 'PHILADELPHIA', 'NEW YORK CITY', 'PORTLAND,MAINE']","['NEW YORK CITY', 'PORTLAND,MAINE', 'WASHINGTON,D.C.', 'PHILADELPHIA']",50000000000.0,50000000000.0,WINTER,YOUNG,USA,EAST,,B,4317.27,5622.89
40,SAN DIEGO,2025-12-26,"['MAMMOTH MOUNTAIN', 'SALT LAKE CITY', 'ASPEN', 'VAIL']","['ASPEN', 'MAMMOTH MOUNTAIN', 'PARK CITY', 'VAIL']",50000000000.0,50000000000.0,WINTER,YOUNG,USA,WEST,,A,3043.17,4667.72
40,SAN DIEGO,2025-12-26,"['LAKE TAHOE', 'BEND', 'PARK CITY', 'ASPEN']","['LAKE TAHOE', 'PARK CITY', 'ASPEN', 'BEND']",50000000000.0,50000000000.0,WINTER,YOUNG,USA,WEST,,B,3814.17,4565.81
13,VIENNA,2025-07-01,"['VENICE,ITALY', 'ROME', 'AIX-EN-PROVENCE', 'BARCELONA', 'PORTO']","['PORTO', 'BARCELONA', 'VENICE,ITALY', 'AIX-EN-PROVENCE', 'ROME']",717.3,528.32,SUMMER,ELDER,EUROPE,,JULY,A,4807.64,5905.08
14,VIENNA,2025-08-01,"['VENICE,ITALY', 'ROME', 'AIX-EN-PROVENCE', 'BARCELONA', 'PORTO']","['PORTO', 'BARCELONA', 'VENICE,ITALY', 'AIX-EN-PROVENCE', 'ROME']",958.35,702.24,SUMMER,ELDER,EUROPE,,AUGUST,A,4807.64,5905.08
15,VIENNA,2025-07-01,"['BERLIN', 'COPENHAGEN', 'BRUGES', 'FLORENCE', 'LISBON']","['LISBON', 'BRUGES', 'FLORENCE', 'COPENHAGEN', 'BERLIN']",765.27,648.86,SUMMER,ELDER,EUROPE,,JULY,B,6779.48,7214.94
16,VIENNA,2025-08-01,"['BERLIN', 'COPENHAGEN', 'BRUGES', 'FLORENCE', 'LISBON']","['LISBON', 'FLORENCE', 'COPENHAGEN', 'BRUGES', 'BERLIN']",923.86,761.71,SUMMER,ELDER,EUROPE,,AUGUST,B,6779.48,7443.54
17,SARASOTA,2025-07-01,"['NEW ORLEANS', 'ASHEVILLE', 'WASHINGTON,D.C.', 'CHARLESTON', 'NANTUCKET']","['ASHEVILLE', 'NEW ORLEANS', 'CHARLESTON', 'NANTUCKET', 'WASHINGTON,D.C.']",1996.98,1572.35,SUMMER,ELDER,USA,EAST,JULY,A,5011.68,6309.65
18,SARASOTA,2025-08-01,"['NEW ORLEANS', 'ASHEVILLE', 'WASHINGTON,D.C.', 'CHARLESTON', 'NANTUCKET']","['NEW ORLEANS', 'WASHINGTON,D.C.', 'CHARLESTON', 'NANTUCKET', 'ASHEVILLE']",1496.73,1174.92,SUMMER,ELDER,USA,EAST,AUGUST,A,5011.68,5248.74
40,SARASOTA,2025-07-01,"['KEY WEST', 'SAVANNAH', 'GATLINBURG', 'CAPE COD', 'BAR HARBOR']","['BAR HARBOR', 'SAVANNAH', 'KEY WEST', 'GATLINBURG', 'CAPE COD']",20000001125.41,20000001192.29,SUMMER,ELDER,USA,EAST,JULY,B,5576.95,9465.58
40,SARASOTA,2025-08-01,"['KEY WEST', 'SAVANNAH', 'GATLINBURG', 'CAPE COD', 'BAR HARBOR']","['BAR HARBOR', 'SAVANNAH', 'KEY WEST', 'GATLINBURG', 'CAPE COD']",30000000686.11,20000001247.51,SUMMER,ELDER,USA,EAST,AUGUST,B,5576.95,9465.58
19,SANTA BARBARA,2025-07-01,"['SAN DIEGO', 'SEDONA', 'SANTA FE, NEW MEXICO', 'SAN ANTONIO', 'YELLOWSTONE NATIONAL PARK']","['SAN DIEGO', 'SANTA FE, NEW MEXICO', 'JACKSON HOLE, WYOMING', 'SEDONA', 'SAN ANTONIO']",1773.43,1351.03,SUMMER,ELDER,USA,WEST,JULY,A,5744.98,6799.24
20,SANTA BARBARA,2025-08-01,"['SAN DIEGO', 'SEDONA', 'YELLOWSTONE NATIONAL PARK', 'SANTA FE, NEW MEXICO', 'SAN ANTONIO']","['SAN ANTONIO', 'SAN DIEGO', 'SANTA FE, NEW MEXICO', 'JACKSON HOLE, WYOMING', 'SEDONA']",1410.58,1274.39,SUMMER,ELDER,USA,WEST,AUGUST,A,6064.4,7650.38
21,SANTA BARBARA,2025-07-01,"['PALM SPRINGS', 'JACKSON HOLE, WYOMING', 'PORTLAND, OREGON', 'NAPA VALLEY', 'CHICAGO']","['CHICAGO', 'NAPA VALLEY', 'PORTLAND, OREGON', 'JACKSON HOLE, WYOMING', 'PALM SPRINGS']",1245.68,945.44,SUMMER,ELDER,USA,WEST,JULY,B,8497.26,8497.26
22,SANTA BARBARA,2025-08-01,"['PALM SPRINGS', 'JACKSON HOLE, WYOMING', 'PORTLAND, OREGON', 'NAPA VALLEY', 'CHICAGO']","['PALM SPRINGS', 'CHICAGO', 'NAPA VALLEY', 'JACKSON HOLE, WYOMING', 'PORTLAND, OREGON']",1374.93,1042.76,SUMMER,ELDER,USA,WEST,AUGUST,B,8497.26,4649.46
